cluster_id,subtype_id,subtype_name
17,340,SRCP
27,45,GRAG
28,306,CNCS
12,212,SWU
26,146,PHH
6,482,MLBK
24,249,VCWD
9,0,DUNI
8,105,SBM
22,472,COOL
11,486,GDK
14,394,SWJS
17,434,SFLE
10,242,VSU
20,57,VALV
9,178,SBL
7,272,GP30
22,301,CPH
5,99,HTQ
9,95,NBL.1
16,471,WHPR
12,384,SFOF
17,199,WPS
26,19,GPC
8,47,T
12,415,WSTE
22,505,RSDD
24,296,MLPD
10,198,CTM
16,488,TQC
9,419,FCR
8,179,DRMB
17,98,GPL
25,90,DLV
22,388,RBB
8,207,MNFD
18,246,VSPP
26,325,PUSU
8,55,PC
22,16,CHEP
18,302,SPD
24,381,SHRS
12,378,TRBC
4,389,SB
8,250,VTP
29,199,WPS
8,447,HTP
8,283,STLK
2,19,GPC
21,159,TRNC
20,197,RPSD
9,93,EA
26,463,WTRB
8,164,GL7
20,36,SSRT
20,38,PFAN
22,475,AORD
5,219,TW
26,108,CHV
19,51,APS
24,372,HCPE
12,411,RTRY
8,5,FLST
12,234,AOCH
20,149,RCS
8,391,ACEV
14,174,SCBR
8,84,FTZR
9,35,AIRC
14,207,MNFD
26,60,RTP
8,470,CNR
24,195,PUSL
9,3,CPHP
12,45,GRAG
22,466,P&C
29,506,HCP
6,5,FLST
24,115,RSSD
26,104,ABR
5,464,LPL
24,245,SL.1
21,411,RTRY
5,174,SCBR
11,203,PHD
12,412,BRDR
9,269,LVL
17,105,SBM
9,396,CDST
12,328,OXYS
7,118,FLO
8,17,MEC
22,126,RFG
24,339,SSL
9,426,LMWR
17,249,VCWD
28,266,TM
10,352,PUSM
11,45,GRAG
21,138,RFRC
17,367,ASC
8,487,PIPE
26,78,TRPN
25,418,WL
16,317,VBHF
9,211,LRLR
8,54,SAWM
3,55,PC
19,14,VCCL
19,196,RCD
4,223,WTRT
7,156,DRLH
28,328,OXYS
15,247,GEN
8,91,FAR
14,463,WTRB
12,98,GPL
6,195,PUSL
24,470,CNR
4,90,DLV
8,66,MSB
10,83,YDS
7,375,CFG
0,348,KB
22,251,ABO
23,247,GEN
7,463,WTRB
7,198,CTM
26,176,ILPG
8,457,CUU
26,231,DBL
8,74,CMPR
11,142,PRK
8,249,VCWD
8,35,AIRC
7,228,TRWC
8,266,TM
12,300,CHS
4,324,PLTT
2,330,DSAW.1
8,362,TRCT
3,329,E.1.1
21,306,CNCS
29,77,CDS
5,210,LBLW
29,113,FWP
9,195,PUSL
26,121,E.1
20,122,ATK
1,85,SAWR
26,59,VMH
8,325,PUSU
5,447,HTP
29,288,FLCL
11,425,PTB
17,218,NGA
3,22,JIB
18,304,TJB
7,128,EVBR
3,273,TLI
22,194,WBHD
5,34,TLT
10,124,MILD
10,483,BRSC
18,330,DSAW.1
16,451,CSET
26,72,GRNB
2,192,SA
27,352,PUSM
6,348,KB
3,192,SA
17,133,UTE
20,20,TLCR
25,0,DUNI
22,51,APS
25,19,GPC
22,67,TRTA
26,356,HYCY
14,451,CSET
11,471,WHPR
11,352,PUSM
14,328,OXYS
19,57,VALV
16,224,GP28
24,358,QCT
8,155,ITC
3,253,HDGE
7,196,RCD
20,403,PGK
21,247,GEN
26,44,TRFU
9,330,DSAW.1
17,412,BRDR
5,264,CAPS
2,331,TEL
7,465,WLDR
8,476,RVBT
16,157,TREQ
21,313,FST
12,425,PTB
11,247,GEN
7,179,DRMB
26,35,AIRC
6,344,VBFX
11,345,CSK
26,347,CCF
26,98,GPL
16,27,IWR
19,465,WLDR
19,386,IFL
1,0,DUNI
25,81,HH.1
11,344,VBFX
20,332,SF
10,0,DUNI
9,411,RTRY
21,463,WTRB
20,42,CHSW
18,451,CSET
7,157,TREQ
25,245,SL.1
20,174,SCBR
24,411,RTRY
9,228,TRWC
16,383,LFTG
17,435,SL
19,170,SFTY
10,205,SAW.1
5,483,BRSC
22,7,TPG
8,138,RFRC
9,427,SWRA
24,197,RPSD
20,415,WSTE
26,419,FCR
16,463,WTRB
21,237,CCY
29,469,CVY
26,238,PSF
12,330,DSAW.1
2,142,PRK
2,179,DRMB
20,478,NGUN
19,508,SWFT
21,335,SBB
20,44,TRFU
17,305,TRCR
6,246,VSPP
10,464,LPL
14,149,RCS
15,124,MILD
7,442,CMWR
24,259,SSRG
8,26,DRPE
10,6,CHB
24,156,DRLH
19,119,CBKE
7,174,SCBR
5,203,PHD
8,378,TRBC
29,370,GRA
8,252,GSP
19,496,BCNS
5,111,EXFA
5,93,EA
6,301,CPH
25,203,PHD
7,373,RBE
26,329,E.1.1
22,400,SPHE
16,229,LMRK
9,212,SWU
9,231,DBL
26,327,HYDM
8,440,GRDR
12,261,BH
29,142,PRK
8,502,TIR
19,409,PAH
26,177,RP
5,426,LMWR
8,322,MLTC
9,327,HYDM
2,195,PUSL
24,486,GDK
26,323,FRCS
8,341,WEOV
8,436,TQA
26,118,FLO
7,240,WDMA
9,182,TQW
10,406,CPTD
20,188,CBC
19,341,WEOV
8,123,RDSY
12,485,RAS
9,372,HCPE
13,180,WRFE
13,178,SBL
17,6,CHB
2,441,DAJ
18,98,GPL
7,25,BCAR
16,176,ILPG
9,384,SFOF
12,174,SCBR
26,157,TREQ
8,212,SWU
20,322,MLTC
